PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,taxi_demand
-0.3170033582236446,0.6927194173765872,-3.4545706676880052,-1.187992958796429,-0.8492771901355403,-0.4777519298103164,2.7431613865147577,-0.7770218288008368,-1.0478752105149278,1.0248445245872693,4233
0.30426444723488116,0.6766805985153532,-3.4329434246499453,-1.3613480733337406,-0.8663083737695857,-0.45354090233684863,2.7777340365493353,-0.7761317165106998,-1.058777672759044,1.0385583098367128,5110
0.7800566541811752,0.6671211667968716,-3.407351071659464,-1.5139384103752425,-0.8698115656100571,-0.46091902056852374,2.798376672562656,-0.7812063315842974,-1.0678987261549056,1.0661909063950352,5762
0.9791154938057,0.6533136586911271,-3.354776262068619,-1.706723052400242,-0.9032442775718238,-0.3746975037425401,2.804043937852002,-0.7638284941419026,-1.0559911434102693,1.0023356398489895,6426
1.2367136966062522,0.6345535607117905,-3.296649105542878,-1.6869209011829025,-0.9344685416625925,-0.2866950907483195,2.7771637428338436,-0.7459019479320182,-1.0316496049818915,0.9220557529772213,6390
1.5568887547769634,0.6256689920587672,-3.2980382021441277,-1.337293205833797,-0.9198619160845224,-0.32470935831719133,2.737426053667337,-0.7586850438702173,-1.0267702411570228,0.9496582473232738,6826
1.92136871625778,0.6017428918476064,-3.2453976892246605,-1.1034145344091937,-0.9483784767184272,-0.23967755539103225,2.6872254063500294,-0.7420817089979366,-0.9954622372292249,0.8646865584697188,7069
2.195146500835813,0.5800925950145717,-3.2264980952528712,-0.5771522992694095,-0.9637112161929002,-0.18315281556887203,2.6143048288146424,-0.733384390624773,-0.9642519965533835,0.7982773905257385,6984
2.3446167610967414,0.5596677314578323,-3.2339326934758232,0.06508900000475491,-0.9812731042448527,-0.11738845999291711,2.5409417653048516,-0.7240173009119706,-0.935271446860048,0.7289225014351963,6472
2.314358176904897,0.5538775411116303,-3.263833716063069,0.5133549521291788,-0.9795830644733078,-0.1115331482681334,2.500395909572517,-0.7282045404609561,-0.928210592355621,0.7227352168773353,6144
